Date,Close,High,Low,Open,Volume,Target,SMA_5,SMA_10,EMA_5,EMA_10,RSI
2024-07-01,9532.6796875,9556.813053797468,9484.412954905063,9508.546321202532,68634600,9556.8125,9392.705859375,9221.358984375,9418.59933417218,9295.663794748476,65.277773874885
2024-07-02,9556.8125,9653.34595959596,9508.54577020202,9653.34595959596,78848500,9653.3466796875,9450.62578125,9288.932421875,9464.670389448122,9343.14537752148,61.538437594548526
2024-07-03,9653.3466796875,9653.3466796875,9580.946579589843,9629.21331298828,55860200,9484.412109375,9547.159375,9380.6392578125,9527.562486194582,9399.545614278937,73.33335581400839
2024-07-04,9484.412109375,9653.345658396947,9484.412109375,9629.212294250954,67054000,9605.0791015625,9561.639453125,9419.25263671875,9513.179027254722,9414.975886114586,67.69228279065365
2024-07-05,9605.0791015625,9629.21246613929,9532.67900783213,9580.94573698571,36946900,9701.61328125,9566.466015625,9453.0392578125,9543.812385357316,9449.540107105115,72.05879115026448
2024-07-08,9701.61328125,9701.61328125,9605.079815764926,9653.346548507463,72903600,9725.74609375,9600.252734375,9496.479296875,9596.412683988212,9495.371593313275,73.61108925492383
2024-07-09,9725.74609375,9798.146188740695,9725.74609375,9749.879458746898,61853200,9749.8798828125,9634.039453125,9542.3326171875,9639.523820575476,9537.257866119953,80.59695182531127
2024-07-10,9749.8798828125,9870.546713045327,9701.61315071937,9822.279980952197,62325900,9725.74609375,9653.34609375,9600.252734375,9676.309174654485,9575.916414609506,75.47164769386993
2024-07-11,9725.74609375,9774.012823743797,9653.345998759305,9653.345998759305,55908400,9725.74609375,9701.612890625,9631.626171875,9692.788147686324,9603.158174453232,70.21267436594593
2024-07-12,9725.74609375,9749.879458746898,9677.479363756203,9701.612728753102,62646500,9701.61328125,9725.7462890625,9646.10615234375,9703.77412970755,9625.446887052645,70.21267436594593
2024-07-15,9701.61328125,9725.746647621268,9605.079815764926,9701.61328125,36682600,9605.0791015625,9725.7462890625,9662.99951171875,9703.053846888368,9639.295322361255,68.7499473110067
2024-07-16,9605.0791015625,9677.47919529287,9605.0791015625,9629.21246613929,37192700,9460.279296875,9701.612890625,9667.826171875,9670.395598446412,9633.074191306936,68.7499473110067
2024-07-17,9460.279296875,9605.079490194516,9460.279296875,9556.81275908801,90666000,9749.8798828125,9643.6927734375,9648.51943359375,9600.356831255942,9601.656937773856,52.27276071498203
2024-07-18,9749.8798828125,9749.8798828125,9460.279490253713,9460.279490253713,65383200,9774.013671875,9648.51953125,9675.0662109375,9650.197848441461,9628.606564144518,57.14284534543214
2024-07-19,9774.013671875,9774.013671875,9629.213469328703,9701.613570601852,53880300,9749.8798828125,9658.173046875,9691.95966796875,9691.469789585975,9655.044220095515,60.416656128868006
